meijer_ton_yr,calibrated_ton_yr,calibrated_lower,calibrated_upper,ratio_meijer_calib,rank_meijer,rank_calibrated,rank_change,lat,lon
0.431497,2.4198419517289422,0.8002782891197165,8.310158203246308,0.1783161911428561,22260,22260,0,-37.04375000101072,174.90624999999
1.51429,5.913040562078342,2.3464046249192525,16.2371189563161,0.2560932880642629,15087,15087,0,-37.02125000100983,174.8379166666566
0.103112,0.8737056385177162,0.22760234805717527,3.8233780632215786,0.1180168645528424,31599,31599,0,-37.005416667675945,174.8104166666567
2.78419,9.120946238492444,3.943686389921867,22.76888371397775,0.30525232001150193,12013,12013,0,-36.93375000177792,174.78749999999036
0.369949,2.1688124056885503,0.7008729275941005,7.664510528416659,0.17057676313067258,23224,23224,0,-36.92375000100611,174.7720833333235
3.35017,10.404836090238597,4.65939623073166,25.095472236469753,0.32198200634251184,11195,11195,0,-36.907083334338836,174.8620833333232
0.585381,3.0064583657366097,1.0408807482929725,9.748216623799353,0.1947078351961732,20432,20432,0,-36.88291666767128,174.87208333332353
2.7519,9.04553850257413,3.905371719967115,22.62929758380118,0.30422732700953947,12065,12065,0,-36.87041666767067,174.69708333332358
0.414122,2.3500878255525475,0.7724273969170514,8.133337872359663,0.17621554203091647,22525,22525,0,-36.86208333433706,174.80458333332354
1.34433,5.432695344854137,2.1202269463382586,15.185252389902114,0.24745175546671375,15735,15735,0,-36.86125000100378,174.7920833333235
1.97051,7.131880834101557,2.9475386046551213,18.828041885817658,0.2762959793968902,13730,13730,0,-36.85791666767017,174.6587499999904
1.92827,7.022741943300422,2.8923239397406575,18.600084462583776,0.27457508983930945,13858,13858,0,-36.852083334336726,174.65708333332327
2.93315,9.46561414708306,4.13034122540742,23.403134238712017,0.3098742410606167,11789,11789,0,-36.852083334336726,174.70958333332328
0.803553,3.766722401941986,1.3676326550473212,11.50583723518153,0.2133294982358448,18540,18540,0,-36.827500001921294,174.64083333871952
0.121985,0.984724972149155,0.2639842478296118,4.1894300270369325,0.12387722810945744,30431,30431,0,-36.80041666766806,174.76624999999
0.526653,2.7885575349515785,0.9502336845158003,9.223560390030144,0.18886216023839186,21084,21084,0,-36.787083334334284,174.67374999998992
0.368638,2.1633399450305792,0.698731851389587,7.649725128664368,0.17040225270503626,23248,23248,0,-36.787083334334284,174.6795833333233
0.669956,3.3095154391199118,1.1692608456176974,10.461508684785127,0.20243326019296623,19630,19630,0,-36.767916667666896,174.76874999999006
0.101824,0.8659246449116906,0.22509224059862676,3.797324668156325,0.11758990877362578,31683,31683,0,-36.64458333432884,174.72791666665705
0.129151,1.0255531341923676,0.277619519407968,4.321559643608288,0.12593301672439192,30029,30029,0,-36.617916667661234,174.41874999999004
0.129508,1.0275697974279057,0.27829644039981716,4.328053564613182,0.12603328778655185,30007,30007,0,-36.58708333432668,174.69708333332358
0.253946,1.6593386658319296,0.5042126160775172,6.246082373699525,0.15304048849647042,25575,25575,0,-36.092916667641475,173.9645833333234
2.30405,7.9714218907091725,3.3661004987835694,20.558076950031843,0.2890387727044543,12935,12935,0,-35.74958333429561,174.34958333332338
0.116297,0.9518235163825709,0.2530941647363524,4.08201215726914,0.12218336487628469,30770,30770,0,-35.334583334280296,174.1179166666568
0.155273,1.169204113708163,0.3266087496980747,4.777663006324712,0.1328023038745112,28803,28803,0,-35.176250000941195,150.5920833333247
0.16722,1.2325386844258357,0.3486817536352519,4.9745987074287585,0.1356711980832452,28291,28291,0,-35.12708333427281,138.4695833333251
0.230652,1.5495249507008209,0.4630748731326053,5.927453138051568,0.14885336302308683,26192,26192,0,-34.998750000934876,173.25541666665663
4.54376,12.924790521775298,6.091451091664696,29.478116235112054,0.3515538601840246,9840,9840,0,-34.003750000899345,151.1145833333244
0.273169,1.7477842845057954,0.5378415550394637,6.498969256001114,0.15629445946027684,25137,25137,0,-33.96458333423129,151.1895833333242
3.68886,11.142971155507125,5.06266037974629,26.396357695432762,0.3310481512084752,10759,10759,0,-33.948750000897405,151.16874999999095
0.256322,1.670372689425183,0.5083846786967093,6.277801581371238,0.15345198207724936,25516,25516,0,-33.787083334225144,151.28958333332434
0.109745,0.9133430713220745,0.2404716771508619,3.955262251188421,0.12015747800127598,31172,31172,0,-33.4383333368238,151.36624999999094
0.155749,1.1717538031534063,0.32749192861043364,4.785638626880114,0.13291956004823763,28781,28781,0,-33.30791666754186,151.4454166666577
0.486769,2.636570427571369,0.8878796432023547,8.851178436283568,0.1846220358499503,21520,21520,0,-32.962083334196564,151.6145833333245
0.631729,3.173992238652055,1.111529900905779,10.144769152510023,0.19903293785881637,19958,19958,0,-32.92375000086196,151.7770833333244
0.443748,2.468538544125972,0.819822455243063,8.432800025320853,0.17976142242377524,22080,22080,0,-32.85041666752602,151.7429166666576
5.55176,14.905603006168684,7.241010807683422,32.7335485215373,0.3724612816873228,8994,8994,0,-32.05625000083245,115.73708333332615
0.122374,0.9869587313759267,0.26472680155583284,4.196691951845588,0.1239909999371478,30418,30418,0,-30.652916667452928,153.0029166666577
0.120074,0.973721411007916,0.260332311667611,4.153600702031394,0.12331453190056621,30546,30546,0,-30.500416667447837,153.0312499999909
0.347517,2.0743830045811626,0.6640897409649023,7.408126066153012,0.16752788623534204,23607,23607,0,-30.297083334108038,153.13958333332425
0.115737,0.9485594752687341,0.2520186580179251,4.071308303867753,0.12201343512720786,30804,30804,0,-28.52875000071856,153.55291666665767
0.288906,1.8188599869088244,0.5651688859338876,6.700008938624111,0.15883905417645666,24775,24775,0,-28.128750000706248,153.48208333332434
0.927029,4.170067926014565,1.5450929558270483,12.399496127363388,0.22230549152852389,17725,17725,0,-27.913750000699736,153.40874999999107
1.91947,6.999918277056552,2.880801601249311,18.552319117796884,0.2742132013585639,13878,13878,0,-27.396250000683892,153.14041666665753
0.535193,2.8206631618085622,0.9634986548906046,9.301527091022564,0.18974013176987897,20996,20996,0,-27.337916667348793,153.09291666665786
0.699238,3.4118215966709924,1.2131746255932034,10.69834301741406,0.20494565152007527,19373,19373,0,-27.331250000681905,153.08541666665747
0.708202,3.442891636966191,1.2265665868208564,10.769894904694068,0.20569976481282862,19302,19302,0,-27.150416667342938,153.03874999999084
0.325624,1.9805118627087923,0.6276868864380614,7.150515606316628,0.16441406190550986,24047,24047,0,-24.792916667273403,152.3829166666576
0.176248,1.2795350962806733,0.36523812262759964,5.119199757012063,0.1377437793713624,27960,27960,0,-21.07541666716918,149.20791666665764
0.164691,1.219243605966608,0.3440251769613473,4.933458867398105,0.1350763696393832,28391,28391,0,-19.596250000462533,169.3254166666569
0.304569,1.888500960575054,0.5918789619998948,6.895201767191005,0.1612755335360051,24466,24466,0,-19.552083333794826,169.27874999999062
0.966148,4.294551526497015,1.6004334450175137,12.670608227189833,0.22497063873583764,17516,17516,0,-19.531250000460886,169.26458333332403
0.139309,1.0823278157277179,0.29679691354804216,4.503396691632218,0.12871239006856133,29518,29518,0,-19.520416664903564,169.24916666665706
