lon,lat
175.56124999998997,-37.18458333434944
175.49874999998997,-37.181250001015826
174.90291666665712,-37.07125000101172
174.92291666665676,-37.059583334344666
174.8712499999899,-37.04791666767744
174.90624999999,-37.04375000101072
174.8379166666566,-37.02125000100983
174.8104166666567,-37.005416667675945
174.78749999999036,-36.93375000177792
174.7720833333235,-36.92375000100611
174.8620833333232,-36.90708333433883
174.87208333332353,-36.88291666767128
174.69708333332358,-36.87041666767067
174.80458333332354,-36.86208333433706
174.7920833333235,-36.86125000100378
174.6587499999904,-36.85791666767017
174.65708333332327,-36.852083334336726
174.70958333332328,-36.852083334336726
174.64083333871952,-36.827500001921294
174.76624999999,-36.80041666766806
174.67374999998992,-36.78708333433429
174.6795833333233,-36.78708333433429
174.76874999999006,-36.767916667666896
174.72791666665705,-36.64458333432884
174.41874999999004,-36.617916667661234
174.69708333332358,-36.58708333432668
173.9645833333234,-36.092916667641475
174.34958333332338,-35.74958333429561
174.1179166666568,-35.334583334280296
150.5920833333247,-35.176250000941195
138.4695833333251,-35.12708333427281
173.25541666665663,-34.998750000934876
151.1145833333244,-34.003750000899345
151.1895833333242,-33.96458333423129
151.16874999999095,-33.948750000897405
151.28958333332434,-33.787083334225144
151.36624999999094,-33.4383333368238
151.4454166666577,-33.30791666754186
151.6145833333245,-32.962083334196564
151.7770833333244,-32.92375000086196
151.7429166666576,-32.85041666752602
115.73708333332615,-32.05625000083245
153.0029166666577,-30.652916667452928
153.0312499999909,-30.500416667447837
153.13958333332425,-30.29708333410804
153.5529166666577,-28.52875000071856
153.48208333332434,-28.128750000706248
153.40874999999107,-27.913750000699736
153.14041666665753,-27.396250000683892
153.09291666665786,-27.337916667348793
153.0854166666575,-27.331250000681905
153.03874999999084,-27.150416667342935
152.3829166666576,-24.792916667273403
149.20791666665764,-21.07541666716918
169.3254166666569,-19.596250000462533
169.27874999999062,-19.552083333794823
169.26458333332403,-19.531250000460886
169.24916666665706,-19.520416664903564
169.46041666665678,-19.51041666712689
169.22166666665703,-19.457083331613777
169.24916666665706,-19.38791666499509
178.10624999999004,-19.077083333782184
178.11374999998975,-19.077083333782184
178.11708333332342,-19.077083333782184
178.0029166666567,-18.259583333760645
178.0545833333233,-18.25958333376053
178.1537499999897,-18.2587500004272
177.87374999998974,-18.2562500004272
177.93708333332324,-18.2562500004272
178.06791666665652,-18.2562500004272
177.8687499999902,-18.251250000427035
177.82624999998984,-18.23791666709343
177.78374999999016,-18.22958333375982
177.72874999998976,-18.21375000042616
177.69291666665663,-18.202916667092552
178.20041666665668,-18.197916667092443
178.24708333332342,-18.184583333758667
177.6079166666567,-18.182916667091888
177.59458333332327,-18.177083333758446
178.2512499999899,-18.17541666709178
177.51874999998995,-18.171250000425005
177.5404166666567,-18.169583333758283
177.46958333332338,-18.16625000042484
178.4512499999903,-18.150416667091065
178.29291666665654,-18.148750000424343
178.52374999998983,-18.1429166670909
177.4187499999898,-18.132083333757407
177.40291666665644,-18.131250000423847
178.46708333332344,-18.13125000042396
178.32541666665657,-18.123750000423684
178.51624999999,-18.122083333757075
178.42874999999026,-18.115416667090187
178.41208333332327,-18.11375000042352
178.3783333333232,-18.11291666596867
178.49374999998997,-18.107916667090024
177.30208333332337,-18.064583333755593
177.29624999999032,-18.03791666708821
179.24958333332313,-17.988750000420282
178.62791666665655,-17.98750000166848
177.25874999998996,-17.977083333753228
178.60124999998982,-17.976250000419952
178.5895833333234,-17.936666668330247
178.58624999998983,-17.92375000041858
178.57958333332363,-17.91541666708497
177.27624999999,-17.912916667084858
178.58541666665667,-17.897083333751198
177.31708333332313,-17.860416667083484
178.60874999998987,-17.847916667083155
178.58833333332325,-17.823749999543224
177.3629166666567,-17.817083333749054
168.45541666665713,-17.80625000041556
177.36541666665698,-17.795416667081838
168.38208333332386,-17.79125000041512
168.31208333332347,-17.767916667081124
178.55291666665664,-17.762916667080958
177.42958333332308,-17.741250000413856
178.5637499999898,-17.732916667080246
178.82708333332312,-17.71875000041325
178.7520833333233,-17.711250000413088
168.2912499999902,-17.707916667079644
177.42458333332365,-17.706250000412922
178.57124999999007,-17.706250000412922
168.28958333332366,-17.705000001640542
178.57458333332352,-17.69875000041276
177.41791666665677,-17.693750000412592
168.2687499999903,-17.69291666707926
178.74458333332348,-17.692083333745813
168.25124999999025,-17.68375000041226
177.3891666666567,-17.66208333301421
168.53041666665695,-17.656250000411546
178.58124999999018,-17.64375000041133
178.75708333332318,-17.640416667077773
177.4262499999902,-17.625416667077445
168.50249999999028,-17.622916666381116
178.51958333332323,-17.614583333743838
178.50041666665663,-17.602916667076897
177.46041666665656,-17.59625000041001
177.4645833333234,-17.592916667076622
178.49124999999003,-17.584583333743012
177.50041666665652,-17.576250000409516
177.5070833333234,-17.57125000040935
178.43624999998997,-17.56250000162578
168.45958333332374,-17.55291666707558
178.40291666665644,-17.545416667075244
146.06624999999133,-17.508750000407815
177.56541666665692,-17.50541666707437
177.56708333332347,-17.50458333374098
177.57291666665674,-17.500416667074262
177.59374999998977,-17.486250000407153
177.6079166666567,-17.47625000040688
178.24874999998997,-17.468750000406658
178.23041666665654,-17.456250000406328
177.65041666665672,-17.455833334947386
177.74958333332324,-17.447083333739556
177.72541666665666,-17.44541666707272
178.2295833333236,-17.440416667072668
177.83208333332334,-17.432083333739058
177.81291666665652,-17.42958333373906
177.94041666665655,-17.42708333373895
177.95458333332328,-17.426250000405673
178.23041666665654,-17.417083333738617
177.96458333332316,-17.41291666707201
177.86708333332342,-17.408750000405178
177.8695833333231,-17.408750000405178
177.99041666665676,-17.4045833337384
178.01374999998984,-17.39375000040468
178.0545833333233,-17.36541666707069
178.13124999999002,-17.35291666707019
178.6887499999898,-16.997083333727858
179.94708333332323,-16.997083333727858
178.77124999998978,-16.963750000393702
145.77958333332492,-16.942083333726316
179.89874999998983,-16.93708333372632
168.57374999999047,-16.917916667059217
178.82708333332312,-16.91250000155827
168.52999999999042,-16.893750000359603
178.64291666665656,-16.89208333372511
178.91791666665688,-16.88208333372478
179.02374999999017,-16.87375000039134
145.7595833333246,-16.8620833337244
179.05208333332305,-16.810416667056415
179.46874999998977,-16.80791666705636
178.59374999998988,-16.80541666705625
168.2737499999903,-16.803750000389527
179.4745833333235,-16.800416667056083
179.3704166666564,-16.795416667055918
179.1129166666567,-16.776250000388927
179.4729166666566,-16.764583333721873
179.12124999999003,-16.761250000388486
168.15541666665695,-16.76041666705521
179.66208333332338,-16.750416667054708
179.36083333332328,-16.7395833338299
179.4820833333231,-16.729583333720882
179.1662499999901,-16.726250000387495
179.7295833333235,-16.720416667054167
179.2704166666565,-16.69875000038678
179.87458333332324,-16.697916667053505
168.25458333332358,-16.68875000038662
168.28541666665683,-16.679166668200935
179.5033333333232,-16.67041666722338
179.6787499999898,-16.67041666705279
179.82124999998996,-16.667083333719347
178.56958333332352,-16.66625000038607
179.84541666665632,-16.652083333718906
178.71791666665672,-16.65125000038563
168.1345833333237,-16.643750000385467
168.15041666665684,-16.62541666705164
178.7554166666564,-16.62208333371808
179.8629166666566,-16.611250000384587
179.55124999998986,-16.6045833337177
178.8087499999899,-16.599166668192765
168.167916666657,-16.59625000038426
178.8195833333233,-16.576250000383766
